state_code,e_vote
AL,9
MT,3
AK,3
NE,5
AZ,11
NV,6
AR,6
NH,4
CA,55
NJ,14
CO,9
NM,5
CT,7
NY,29
DE,3
NC,15
DC,3
ND,3
FL,29
OH,18
GA,16
OK,7
HI,4
OR,7
ID,4
PA,20
IL,20
RI,4
IN,11
SC,9
IA,6
SD,3
KS,6
TN,11
KY,8
TX,38
LA,8
UT,6
ME,4
VT,3
MD,10
VA,13
MA,11
WA,12
MI,16
WV,5
MN,10
WI,10
MS,6
WY,3
MO,10
